Roelantweg;133;b;2331  EE;Kallenbroek                    ;M.;de;Meer;celicamiqk;pDjYN2Id;65944653
Schiehavenkade;75;;6963  IN;Leiden                         ;J.;;Vos;diadancepg;woGyzBOD;783447541
Boezemweg;29;I;8617  RV;Meezenbroek                    ;B.I.K.;de;Linden;colpiscakv;bfouazqb;727985310
Zwaanstraat;143;bis;6301  HL;IJmuiden                       ;H.W.;van de;Bosch;omnivoriehn;40BtM69c;43510759
Velsenaerstraat;74;;5709  AP;Ulvenhout                      ;G.;;Willems;grulhgruhrumo;IrawtSJZ;133685482
Achterweg (Schiebroek);2;;9692  RP;Zwingelspaan                   ;R.O.;;Veenstra;temniceyz;hqyQ2ntd;485621186
Augustinusstraat;141;;9539  CB;Essen                          ;I.;van;Berg;bes2zvp;CSIMr9Yu;524880669
Simonstraat;115;;2186  TZ;Geldrop                        ;S.A.;;Meijer;ceaxofechoownxj;iAY5G7ho;80145991
Dr. De Visserstraat ;76;;6989  KU;Middelrode                     ;M.;;Jonge;tindantky;xrV1kF1B;679587500
Groene Wetering ;31;;3327  WC;Kraan                          ;E.J.;de;Bosch;viarnadiapamyss;6ys8VWlx;801539985
Thomas Mannplaats;102;;7061  RU;Wijnjeterp                     ;A.;;Wal;trifiropm;O4kfciKv;605304622
Mennepoortstraat;24;;6005  AF;Nijetrijne                     ;P.;;Dijkstra;arnesquemdi;TIAzORYm;312910435
Zonneveldstraat;52;;8760  CJ;IJpecolsga                     ;H.S.;van der;Wolters;escahiriat;jTmDznfF;233806246
Rijksboom;41;a;3908  RS;Tiengemeten                    ;I.;;Vliet;kregeligky;VHNQE9os;133121501
Roerdomp;116;;8053  AZ;Mariarade                      ;T.;van der;Graaf;artirequelerp;cIIp1sUU;233288168
Herman Heijermanshof;4;;8054  ZZ;Hoogezand-Sappemeer            ;M.P.;;Broek;ruthcaligpy;butZlrlE;340351895
Tarwewijk;49;;1087  AL;Ekenrooi                       ;G.W.;van de;Heijden;nilemponanx;lIiV6xA1;775080883
Jean Monnetstraat;30;;3543  JA;Oirlo                          ;E.;;Bruijn;estinhoiwy;fnRUwfmI;370916554
Bep van Klaverenstraat;64;;4596  NM;Theereheide                    ;I.;;Berg;vollhufxi;Y68Yy2TJ;222939527
Rotterdam Airportplein;111;;4574  RG;Raar                           ;O.P.;van;Dijkstra;kriscjakcg;wmJRO5wa;642011254
Kerkdreef;124;bis;6652  DD;Papenbeek                      ;R.I.;;Bruin;biofrauur;NO6TmFTC;38322596
Lange Nieuwstraat;65;;9471  NU;Biesstraat                     ;E.;;Evers;obtuseaupaircv;4Lwz2TiZ;9589922
Philips Willembrug;148;bis;6110  VS;Numero Dertien                 ;M.P.;de;Evers;mindybaxtj;YpYwrRgY;506074328
Schietloodstraat;55;;1495  RM;Dearsum                        ;H.;van de;Bosch;tsjekkerhz;dZQ35mcR;249767466
Jacob Ruysdaellaan;107;;7998  CK;Goirle                         ;H.;;Bruijn;porrogiyv;bhKyWEa1;795039359
Van Couwenhovenslaantje ;4;;3514  AO;Tussenlanen                    ;Z.;van de;Wijk;kuragazq;qHzrARrz;884543882
Korianderplaats;117;;9699  VT;Idaerd                         ;M.;van der;Veenstra;sokurovaib;hp6JgmHu;260306344
Kralingen;65;b;4695  AL;Zinkweg                        ;N.C.;van der;Kuiper;re2gidfm;lxwpUJh6;447402122
Molensloot (Delfshaven);81;I;7138  VU;Bruindijk                      ;V.;;Dongen;a2p1elhfu;12DXGOX7;529728126
Rottestraat;144;bis;3333  OJ;Schoot                         ;E.;de;Graaf;weddwaiddwo;vxy6oZEG;450469578
Othelloweg;35;;1145  DJ;Varsseveld                     ;E.D.;;Vermeulen;hamstrefx;oKpF78as;480063400
Jaap Quackensteeg;97;;6099  HI;Poeldijk                       ;J.L.;van;Timmermans;felicieosiyv;FHRzq9Fq;972758872
Laagjespad;4;;6350  DR;Enter                          ;F.;van der;Hoekstra;quadratose;aioQ8lXC;791634528
Van Caerdenstraat ;0;;8760  CJ;IJpecolsga                     ;J.;;Hendriks;vels2zkg;SvHhumXT;188383165
Laan van het Joodsche Kerkhof;84;;4269  KA;Hoge Mors                      ;M.G.;;Kuipers;erotiesjs;8nzduJGa;108037289
Bosseplaat;54;;2273  HV;Eemten                         ;H.;van de;Veen;polinesiaby;qxJQGohQ;612147654
Koekkoekplein;102;;1595  MZ;Hoornsterzwaag                 ;U.C.;;Bruijn;delacaseszf;HGHO3EqV;911541901
Vlietsteeg;142;a;6141  OA;Muggenbeet                     ;L.Z.;;Hermans;isiyalelohf;a9cEvayC;503351799
Essenweg;30;;9912  IJ;Leggeloo                       ;G.;de;Jonker;jerundenditzc;y8Q4Rwdh;120494413
Oude Frankenstraat;110;;5963  RF;Eede                           ;C.M.E.;de;Sanders;misangilvm;4W9KlqA3;341477357
Laan van het Surrealisme;9;a;8053  AZ;Mariarade                      ;A.;;Velde;eskapadire;7hQ9Wh57;169072435
Kunstplein;12;bis;1748  FK;Haelensche Broek               ;V.;;Kuipers;odklopru;qgLVrjxZ;31205707
Kerkvliet.;76;a;7102  RG;Oostum                         ;D.;;Veen;poporostucd;ro3iUgAY;736767824
Balkengat (IJsselmonde);131;;5080  IC;Heiloo                         ;S.;;Huisman;krimpringbf;cIIx0jAg;464319468
Teropad;136;II;7630  EE;Philisteinsche Polder          ;F.;;Bosman;caungusagoptx;BrpxItE9;153566073
Paddenpad;34;;9911  AU;Heikant                        ;T.;;Vink;fjarhrifvv;Jp5bJBba;981719090
Dahliastraat (RZ);111;;6548  JM;Heer-Arendskerke, 's-          ;K.;van;Bos;braaiplekmw;1dtUu4SG;922726747
Schaepmanstraat;25;bis;6350  DR;Enter                          ;M.C.;van der;Boer;akadozgatbv;MBeWVOcw;994083166
Carel van Nieveltstraat;114;;6103  GG;Stadse Dijk                    ;S.;van der;Boer;eldiablo458ei;gB4Y5I8O;804926578
Alard Duhameelstraat;58;bis;5925  AC;Gerverscop                     ;K.;;Horst;hvorledespe;8c1QOb2O;959701898
Waterkoninginnesteeg;130;II;1646  WF;Boshoven                       ;H.R.;de;Heuvel;titelalacz;puITyBzl;896967906
Huslystraat;85;;7649  MS;Katendrecht                    ;R.;de;Timmermans;savoldozq;dOh9DtET;926204476
Tinstraat;103;;4112  RS;Baflo                          ;P.K.;de;Wijk;rezervoarlx;6IS0q1Yx;714187136
Sijpesteinstraat;72;;3241  DD;Breesaap                       ;F.;;Meijer;geniusproofhh;cYo10qOy;110435175
Engelsestraat;42;;6372  LJ;Rumpt                          ;G.T.;van der;Bosch;s3psyv;Vxrt92Pm;506710865
Koningsdam;115;;9341  BM;Hegge                          ;P.U.;;Dam;liweddcr;Q7utA9nG;493862948
Chris Bennekerslaan;122;a;3150  UV;Kemp, De                       ;Z.M.;van de;Sanders;khaulahs;RfQhfOPs;441878921
Klinkenbergerstraat;143;II;4815  HN;Zuidhoek                       ;O.;van;Kuijpers;avengxg;NesWEhvz;808027104
Persijnstraat;114;;4438  VB;Staalduinen                    ;M.;van de;Loon;heiderosleinyd;OX4XZTjP;579637256
Mauvelaan;96;;9271  OD;Blokker                        ;L.K.N.;van der;Lange;smelosx;1NiBWFhN;70061968
Sint-Anthonisgasthuissteeg ;83;bis;4276  JI;Lauwersoog                     ;E.;;Meijer;lachatapelonaeo;V86bWVDJ;317320828
Spaansepad;125;a;5685  CB;Blauwe Hand                    ;O.C.F.;;Meulen;fjallfosskd;07GOnboc;305041502
Joris Minneepad;60;I;6683  IA;Woerdense Verlaat              ;J.;van;Bruijn;gypetrieplehx;9s09lsXl;394748086
Kortevaart;91;;5281  JB;Vilt                           ;K.;;Dam;fwnglerwrzb;ggWcVd1R;372492812
Schietloodstraat;113;II;7920  FU;Liempde                        ;I.;;Meer;poznavaoeb;k63h2F1a;499901757
Middelboschwetering;61;I;7090  KP;Doldersum                      ;I.O.;;Verbeek;oristaniogn;LGY0Rnl1;609438530
Geluksklaver;16;;7993  CE;Eygelshoven                    ;F.;;Kok;maronaeb;Pu9aX7vd;373234776
Kulkweg;106;;6103  GG;Stadse Dijk                    ;Z.;;Velden;speckssja;msqiFq01;109093021
Badstraat;135;b;9341  BM;Hegge                          ;O.;de;Berg;toninoya;wbhxRhIC;84251414
Grote Visserijstraat ;8;;2904  UW;Heemskerk                      ;T.;van;Smit;poolodyernnenrj;YGLQ57QT;796680334
Bedrijventerrein Kleinpolder ;20;;7976  WE;Gest, De                       ;O.;de;Kuipers;flikizg;BZ4y6zMs;535649666
Vierhavensstraat;52;;9704  KB;Kade                           ;V.;;Hermans;brastilhec;2cKGCTH0;548264545
Poortershaven;113;;8770  HW;Geleen                         ;K.G.;;Maas;atchoum74sx;6ZGWhozf;90480806
Hoogdorpstraat;148;;4808  AB;Zwaagwesteinde                 ;E.;;Smits;piroemdu;6l60sW44;901683127
Mijnkintstraat;148;;3908  RS;Tiengemeten                    ;O.;de;Dijkstra;udisajimach;W7C3GouH;808235783
Prinsenplein;105;;9043  CF;Opheusden                      ;G.Z.W.;de;Gerritsen;immafecagsg;Aeod96me;425570708
Bolnessekade;106;a;8690  UT;Eyserheide                     ;S.N.;van;Jansen;liazzooy;64bmsKBy;70545832
Brederodestraat;134;;8617  RV;Meezenbroek                    ;Z.M.;van;Boer;africana2007rg;7HHyDLCz;793664238
Kleine Schiebrug ;100;bis;3849  MI;Westeinde                      ;C.;;Kuijpers;whoggessywy;ReBxD7fd;85972824
West- Blommersdijkscheweg;71;;9764  MU;Hoogendijk                     ;T.L.;;Heuvel;ajewkb;lDruJOIO;274592071
Van der Waalslaan;55;I;8474  BU;Bontemorgen                    ;T.A.;;Boer;adobumsa;RTbjENSK;75321804
Marie Overeijnderweg;31;bis;5709  AP;Ulvenhout                      ;I.;;Laan;kugombeajy;uzj9lVIc;585528949
Duvelsbreggesteech;138;;5202  NF;Noordscheschut                 ;T.;;Scholten;chigaijinga;akKNq12L;456093242
Amsterdamsche Veer;136;;4142  MR;Klein-Brabant                  ;J.;de;Beek;volantqo;DtfnhYb0;633069735
Van Caerdenstraat ;67;;5981  VS;Botshol                        ;H.;de;Molenaar;taflihk;Smtw0lhE;92523365
Bingerden;13;;6141  OA;Muggenbeet                     ;M.;;Jacobs;kurjidp;VAMgwutG;709405996
Akkeroord;94;;5147  UT;Belfeld                        ;L.;de;Post;nasrollahta;Oeufew2R;612844377
Springertstraat;138;;3230  IT;Basse                          ;R.R.;de;Haan;sklanjajucu;Zgehfqq8;954239301
Oranjestraat;123;;9692  RP;Zwingelspaan                   ;L.B.;van;Vries;peendateecybf;NTDXeVB0;616444898
Frambozenpad;42;;5931  ZI;Proosdijveld                   ;S.W.;;Jonker;moganoin;voq2TTHI;487821567
Palmstraat;16;I;3277  OI;Bantega                        ;D.;;Loon;bakteroidlx;8cXlIYdI;337146317
Prinses Julianalaan;140;;2186  TZ;Geldrop                        ;U.L.;;Dijk;ziggyiggypopuj;frZvSpCF;902502141
Cornelis Bloemaertsingel;55;bis;1748  FK;Haelensche Broek               ;I.;de;Peters;noserudasex;jgDxbeHG;749686820
Hoofdweg;105;I;2532  SM;Lapstreek                      ;C.;;Smit;ceafdressyu;D8Iw1qe9;639485807
Sint-Jobskade;93;;4570  NH;Lent                           ;B.;;Meijer;owenizmie;CctlbG4r;340324181
Oostmaaslaan;122;bis;5832  PT;Frederiksoord                  ;S.;;Driessen;ktheriddleby;93W1syGL;622045325
Vlietsteeg;67;;5393  OL;Hoogkamp                       ;I.;;Willemsen;wickedepd;Pjj1y1Hc;357272146
Krammerpad;77;;9678  PK;Baan                           ;G.;;Dekker;danilovomov;9pI9PXgr;697873729
Godijn van Dormaalstraat;134;;4850  DL;Strijensas                     ;A.I.;;Smeets;bocatanocillakl;aKNmrQNz;51219529
Boisotstraat;52;;2650  FI;Doeveren                       ;U.;van de;Jansen;tatoemdb;SJAlih78;521726876
Dr. Molewaterplein;72;;2325  PR;Rinsumageest                   ;M.E.;de;Boer;garnierenqp;Bp8aqOmy;253155605
Rusthoflaan;82;;8690  GC;Aalden                         ;T.;van der;Hofman;kinccibiorekq;e6H44Yvd;672480542
Heemraadsplein;121;;7254  VD;Bernisse                       ;K.;de;Broek;azerigenocideqp;Iiz00nJ2;95865081
Diergaardetunnel;74;bis;5690  BJ;Schapenmeent                   ;R.Z.;;Dongen;poiriretzws;7knpBtwd;527370058
Beurstraverse;25;II;8954  SK;Vinkega                        ;W.;van de;Postma;micheljanvakz;TEnjtJRH;392735337
Uiterdijk;75;;1468  WA;Bennekel, De                   ;G.I.A.;de;Hendriks;pallamarink;OyLSwh6f;950077604
Hollandse Slag;95;bis;9863  RU;Rijndijk, De                   ;F.O.;;Boer;encesadaga;zFpI30K0;97454709
Zagwijnlaan;68;bis;1071  ZG;Engwierum                      ;A.;de;Postma;ricardobottoka;t9y6B6iv;450743834
Bergschestraat;147;;9595  BL;Deil                           ;G.E.;;Bruijn;erbatgipd;KFOdpGVe;650721731
Floris Versterlaan;136;II;8054  ZZ;Hoogezand-Sappemeer            ;J.P.;;Wal;jenofy;fH7LYc2y;285077971
Tandwielstraat;73;;8474  BU;Bontemorgen                    ;W.P.;de;Mol;2p1o2ri1eyb;RqhUz244;424860880
Laan van de Aschbranderij;110;;7036  KH;Loo                            ;B.K.;de;Velde;elziestar14ow;0C9LHqgs;871365911
Rugbystraat;131;II;5619  KG;Drijber                        ;B.R.;van;Vos;sexybeast5002jx;66FvLBJ1;496950009
Galerij;84;;9595  BL;Deil                           ;Z.W.;van de;Bosman;fatturinixz;iPMg2NPT;683627971
Spinbolplein;91;bis;9973  IF;Raam                           ;E.;;Vries;klasikuot;e7NO9QRi;890394982
Westerflierstraat;140;;2313  CN;Hees, De                       ;W.T.L.;de;Peeters;erbegiswh;tZ4bqkDw;584017947
Simon  Vestdijkpad;146;I;7388  PB;Hempens                        ;T.W.;;Groot;leuraiu;qi2bUKcc;356197153
Oude Plantage;92;;7895  UB;Bovenkerk                      ;I.U.;van;Vink;monolozihj;AYtBMju2;495831050
Steendijkstraat;14;;3450  TH;Baexem                         ;B.O.;de;Gerritsen;gotalieplesetgj;phPx9HPB;438250448
Nederwaardpad;48;I;7914  MR;Schijf                         ;F.B.;van;Verbeek;naxsmooksmk;HTN8eqDE;869457986
Bloemenlaan;42;;4018  JJ;Telgt                          ;K.W.;;Smit;cookingfor2jo;JEQDp3QZ;666405992
Abeelhof;118;I;2313  CN;Hees, De                       ;B.;van;Bakker;antojoew;2kBOD6Q3;524650949
Nieuw Engelandpad;74;;2055  BS;Oud-Bodegraven                 ;N.R.;de;Leeuw;reederyi;nFAwnq85;257949793
Pierre Baylestraat;140;;4793  HK;Doornenburg                    ;R.I.;de;Visser;vesinhessebibqg;kVbylPd5;352984351
Molen de Beerkade;95;;8304  TH;Homoet                         ;J.;van der;Verbeek;amonijemox;u5IT8zT0;853599130
Achterweg (IJsselmonde);107;bis;3433  DO;Velswijk                       ;L.;;Hofman;aculhentaoz;TuXxzNzX;503081632
Stationsweg;140;II;9430  HH;Lollum                         ;D.H.;de;Meulen;theosoofkv;tatRABVU;110018321
Schakelpad;128;a;2043  LR;Sluis                          ;N.;;Verbeek;odabulagx;w8tRXHWr;675534562
Godijn van Dormaalstraat;86;;3660  WU;Wammert                        ;I.I.;van der;Bosman;benenzyncgypejd;LFlTee38;618439328
Raadhuisstraat (Schiebroek);45;I;5627  GP;Wieringerwerf                  ;E.;van der;Evers;kellykiki123jn;IZEiNefh;842329821
De Heul;61;bis;4599  CZ;Steeg                          ;C.O.;van de;Vos;rafaelamiom;oI9Zk5UQ;438159858
Nieuw-Mathenesse;62;;7254  VD;Bernisse                       ;E.;;Dongen;saquegemnt;boI96EAR;872615364
Banierhof;144;;9351  LB;Broek, Het                     ;Z.;;Postma;maulezt;jVKy0MFS;638988214
Laan van de Aschbranderij;2;;8519  IN;Hoek, De                       ;E.;;Kuipers;fergehavnvu;MkaAyqRX;210182775
Koenraad van Zwabenstraat;146;a;9471  NU;Biesstraat                     ;B.;;Haan;monedarsfw;01Xt5Rjg;90969479
Rusthoflaan;137;;1880  SV;Benzenrade                     ;N.;;Meer;debatnufv;f2plGZc1;801132782
Ringersplaats;147;;6683  IA;Woerdense Verlaat              ;G.K.;de;Vliet;atencyjkalb;VXy5KeXw;951102850
Buitendijktunnel;72;bis;2325  PR;Rinsumageest                   ;W.;;Driessen;kornbergfa;y988yZ5H;56125975
Wasbloem;66;;6667  ET;Weilenseind                    ;F.R.K.;de;Sanders;cappelned;Z3a5Tul9;902784845
Afsluiterpad;70;b;2533  IV;Deuteren                       ;L.Z.Z.;;Horst;kokwanirapb;wKucKGdF;678456173
Tijmweg;116;;8592  SI;Winkelshoek                    ;A.;van;Wal;bafflingle;ELKo1HVy;280130557
Kulk;11;;1087  AL;Ekenrooi                       ;P.G.B.;;Dekker;hochlandcu;P4Fo3K63;968980314
Boezemkade;48;;6007  ED;Burdaard                       ;T.R.;;Jansen;waycooltonydt;Mg7GKsPh;351226308
Klinkenbergerstraat;69;b;8007  OW;Toldijk                        ;S.M.V.;;Veen;varovanemqo;cjuX1HCE;411741330
Zusterstraat;42;;4367  AP;Moleneind                      ;Z.;van de;Wolters;triemru;tn4t6Y3V;556557529
Crouwelpad;94;bis;5517  KH;Vledder                        ;L.;;Sanders;francaok;2Ij5tp7g;7824920
Nieuwenoord;63;;8617  RV;Meezenbroek                    ;G.K.;;Meulen;desmarojepl;FdWqFLHS;271992979
Rottestraat;20;;8605  KL;Wymbritseradiel                ;F.;;Martens;deneenparkerbb;6bP6TsKm;198236827
Palmstraat;52;bis;4532  ET;Gytsjerk                       ;F.D.;van;Willems;visukukudq;PNQUMSPO;149485955
Lampreistraat;42;;4762  RB;Leudal                         ;S.S.;;Kuipers;ballayle;A0T4yZjd;547508694
Isaäc van Hoornbeeklaan;133;;2641  IM;Boven-Veensloot                ;T.;;Bruijn;reaboneshl;dgES3mL8;648620451
Blindeweg;49;I;5104  NM;Baarderadeel                   ;W.;;Boer;libellarps;yAdr4XNT;885407362
Iependaal (RZ);65;;8151  OU;Rolaf                          ;O.N.;;Koster;jwon519yg;LEOywEn8;867253903
Planciushof;124;;4479  HB;Wijnjeterpverlaat              ;U.;;Koning;stiebiafm;Ngblgvzt;316496984
Jan Vrijlandtsingel;27;;6660  TF;Kalverdijk                     ;A.K.;van der;Jonker;pozzolire;LemNA8U9;73776865
Stationsweg;80;a;9658  CM;Haaren                         ;U.T.W.;de;Kuijpers;urwanyoh;I8zL6nER;717130216
W. G. Witteveenplein;140;;9937  MF;Noord-Kethel                   ;V.;de;Mulder;hornfreakrk;2spy7NFU;813706920
Molenaarsgang;25;b;1454  BM;Hool, Den                      ;F.;van der;Verbeek;ekstraflyrv;4QfjlPN8;68696000
Zwaanshalskade;67;bis;2273  HV;Eemten                         ;B.;de;Hofman;laszlozg;40UDhPMZ;562529688
Bovenkruierlaan;5;;4184  JG;Platteweg                      ;J.R.;;Jansen;trigoaxiotozi;XlL3JqTL;745916697
Kameraarstraat;4;;7976  WE;Gest, De                       ;M.E.;;Bruin;baurugacx;Tjj17ZUa;280522241
Nieuw-Mathenesse;120;;4890  KN;Lamswaarde                     ;W.;van;Verhoeven;ornaradintyhh;PaubZhi4;832880097
Galangapad;101;b;9125  BW;Belgeren                       ;P.;van;Kok;henoteismbv;rcHI2tIZ;759814600
Lambertusstraat;106;;3658  GN;Startenhuizen                  ;Z.A.O.;van;Velde;huggumje;Pu2yUVkN;599738455
Vredeman de Vriesstraat;76;;9634  LL;Gortel                         ;U.;;Leeuwen;omislitikp;fDNmCIxs;601701422
Maeslantkeringweg;65;;7630  EE;Philisteinsche Polder          ;B.H.;;Laan;juhaszke;S2DSjVVL;911346685
Schepenstraat;142;;5956  AL;Hout, Den                      ;P.D.;;Vos;isoldolr;9Cua6c0V;949541710
Iependaal (RZ);41;;9237  FZ;Woord                          ;D.A.R.;;Brouwer;controssici;GbuB8Oom;359345657
Putseplein;54;;6699  JF;Kloetinge                      ;M.J.;de;Koster;panterkaae;rcJ5UgwN;235494008
Essenweg;43;bis;5941  UK;Stuivezand                     ;F.U.O.;;Bosch;fidoneke;iaFC7Ane;974223669
Mijestraat;120;I;7036  KH;Loo                            ;N.;;Heuvel;smootttaxis;dRpj5zeL;933248520
Zandmeer;34;I;2503  CD;Lutterveld                     ;D.S.;;Boer;tiemonelilecl;KImRxLeZ;210301454
Boogschutterstraat;56;II;2904  UW;Heemskerk                      ;L.T.;de;Boer;ih2y4lq;YX4TeAGw;970099186
Clematislaan;94;;3336  UD;Baarn                          ;P.;de;Bos;tranhoangvnnaw;Km9QXw6a;377867548
Zwartjanstraat;18;;4112  RS;Baflo                          ;F.T.;van de;Pol;paprika62mr;nuts5IeO;618570160
